+RX 10,4a4a4a4a520103520502
+RX 10,4a4a4a4a520103520503
+RX 10,4a4a4a4a520103520504
+RX 10,4a4a4a4a520103520505
+RX 10,4a4a4a4a520103520500
+RX 14,52010352180103c241be52d84860
+RX 10,180103c2520103520501
2021-03-11 19:10:21.561934: +RX 60,180103c2520103524d11c0a800000a8900003f8900006bb800001caa0000111ed4003700d4fc900f000000000000b7880000415800000dc644420100,-47,9
2021-03-11 19:10:24.022662: +RX 22,52010352180103c2426e485d4a60100e000058022d02,-77,9
2021-03-11 20:10:01.331663: +RX 64,180103c2520103524912c0a800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003203,-47,10
2021-03-11 20:10:03.169688: +RX 16,52010352180103c24a52446b4a603203,-77,9
2021-03-11 20:10:07.881648: +RX 60,180103c2520103524d13d0b60000478900007f8900006bb8000016aa0000111ed3003700d4fc910f000000000000fa8800007a5800000fc62d420100,-48,9
2021-03-11 20:10:10.338480: +RX 22,52010352180103c2426e4b6b4a60100e000058022d02,-77,10
2021-03-11 20:10:15.053932: +RX 64,180103c2520103524914d0b600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003203,-45,11
2021-03-11 20:10:16.892345: +RX 16,52010352180103c24a52526b4a603203,-77,9
2021-03-11 20:10:21.808545: +RX 60,180103c2520103524d15e1c4000072890000ba89000011b9000014aa0000111ed2003800d4fc910f000000000000028900008358000011c602420100,-45,10
2021-03-11 21:10:03.218294: +RX 16,52010352180103c24a5254794a603203,-77,9
2021-03-11 21:10:07.924275: +RX 60,180103c2520103524d17f0d2000078890000c289000031bb000018aa0000111ed1003800d3fc900f00000000000038890000865800000fc6d7410100,-47,8
2021-03-11 21:10:10.299768: +RX 22,52010352180103c2426e5b794a60100e000058022d02,-77,9
2021-03-11 21:10:15.092392: +RX 64,180103c2520103524918f0d200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003203,-45,12
2021-03-11 21:10:16.935211: +RX 16,52010352180103c24a5262794a603203,-76,9
2021-03-11 21:10:21.647493: +RX 60,180103c2520103524d1900e10000b6890000f789000034bb00001caa0000111ed1003800d3fc900f00000000000041890000bc580000aac5d1410100,-47,9
2021-03-11 21:10:24.103478: +RX 22,52010352180103c2426e68794a60100e000058022d02,-77,9
2021-03-11 22:10:03.053829: +RX 16,52010352180103c24a5264874a603203,-77,9
2021-03-11 22:10:07.762219: +RX 60,180103c2520103524d1b10ef0000b6890000fc8900002fbb000016aa0000111ed0003800d3fc900f00000000000039890000ba580000abc5b7410100,-48,9
2021-03-11 22:10:10.218843: +RX 22,52010352180103c2426e6a874a60100e000058022d02,-77,8
2021-03-11 22:10:14.930798: +RX 64,180103c252010352491c10ef00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003203,-47,11
2021-03-11 22:10:16.772727: +RX 16,52010352180103c24a5272874a603203,-77,8
2021-03-11 22:10:21.491777: +RX 60,180103c2520103524d1d20fd0000ac890000fd89000020bb00000aaa0000111ed0003800d3fc900f0000000000004c890000bb5800000fc695410100,-47,9
2021-03-11 23:09:59.503314: +RX 60,180103c2520103524d1e20fd0000ac890000fd89000020bb00000aaa0000111ed0003800d3fc900f0000000000004c890000bb5800000fc695410100,-45,12
2021-03-11 23:10:01.863925: +RX 22,52010352180103c2426e78874a60100e000058022d02,-77,9
